index,source,translation,score
0,Write a python code to calculate the total cost of a grocery bill.,Tulis kod python untuk mengira jumlah kos bil runcit.,-0.09056124091148376
1,Design an algorithm to convert a binary tree into a doubly-linked list.,Reka bentuk algoritma untuk menukar pokok binari ke dalam senarai yang berkaitan dengan dua kali gan...,-0.6139836311340332
2,Write a JavaScript program to rotate an array of integers by a given number of times.,Tulis program JavaScript untuk memutar pelbagai bilangan bulat dengan beberapa kali.,-0.2043883204460144
3,Write a python script to flatten a given nested list.,Tulis skrip Python untuk meratakan senarai bersarang yang diberikan.,-0.3304368257522583
4,Create a SQL query to find the average of the values stored in a column of a table.,Buat pertanyaan SQL untuk mencari purata nilai yang disimpan dalam lajur jadual.,0.0246839988976717
5,Create a Twitter sentiment analyzer to track public opinion on a given topic,Buat Analyzer Sentimen Twitter untuk menjejaki pendapat umum mengenai topik tertentu,0.40165695548057556
6,Create a code for capitalizing words in a sentence,Buat kod untuk memanfaatkan perkataan dalam ayat,-0.04238719865679741
7,Create a class in Java for a vending machine,Buat kelas di Java untuk mesin layan diri,-0.33351296186447144
8,Create a program that takes in an array of strings and returns an object with the strings as keys an...,Buat program yang mengambil pelbagai rentetan dan mengembalikan objek dengan rentetan sebagai kunci ...,-0.2767227292060852
9,Create a function to normalize a comma-separated string of arguments for a function call.,Buat fungsi untuk menormalkan rentetan argumen yang dipisahkan koma untuk panggilan fungsi.,-0.5111951231956482
10,can you write a program to calculate the average of all numbers in an array?,Bolehkah anda menulis program untuk mengira purata semua nombor dalam array?,0.4394727051258087
11,Develop a SQL Query that does a full-text search of a given table for a given string.,Membangunkan pertanyaan SQL yang melakukan carian teks penuh jadual yang diberikan untuk rentetan ya...,-0.5209550261497498
12,Develop a method to detect potential anomalies in stock prices,Membangunkan kaedah untuk mengesan potensi anomali dalam harga saham,0.5674033761024475
13,Generate an efficient query for the following problem,Menjana pertanyaan yang cekap untuk masalah berikut,-0.11494392156600952
14,Design a python program that reverses the input sentence,Reka Program Python yang membalikkan ayat input,-0.05880987271666527
15,Write a Perl program to search and replace occurrences of a given character with a different charact...,Tulis program Perl untuk mencari dan menggantikan kejadian watak yang diberikan dengan watak yang be...,-0.11209018528461456
16,Write a Python program to convert a given string to an encrypted version of the string.,Tulis program python untuk menukar rentetan yang diberikan kepada versi rentetan yang disulitkan.,-0.20721271634101868
17,Generate a JavaScript function to convert a given number into a fixed-length string.,Menjana fungsi JavaScript untuk menukar nombor tertentu ke dalam rentetan tetap panjang.,-0.05978645011782646
18,"Compose a PHP code to implement insert, update, delete and search actions on a database table.","Tulis kod PHP untuk melaksanakan tindakan memasukkan, mengemas kini, memadam dan cari pada jadual pa...",0.04669060558080673
19,Develop a program to calculate the sum of first n prime numbers,Membangunkan program untuk mengira jumlah nombor utama N pertama,-0.19718588888645172
20,"Write a SQL query to add an employee to the table ""Employees""?","Tulis pertanyaan SQL untuk menambah pekerja ke meja ""pekerja""?",-0.6732831597328186
21,Count the number of times a character appears in a string.,Kira bilangan kali watak muncul dalam rentetan.,-0.4158266484737396
22,Modify the given code to return only the even numbers,Ubah suai kod yang diberikan untuk mengembalikan nombor juga,-0.25942251086235046
23,Create an array of 10 random numbers,Buat pelbagai 10 nombor rawak,-0.4514963924884796
24,Generate a list of prime numbers betweena given range of numbers.,Menjana senarai nombor perdana antara pelbagai nombor yang diberikan.,-0.2036103904247284
25,Convert the for loop below to a list comprehension,Tukar gelung di bawah ke pemahaman senarai,-0.8951748013496399
26,Modify the following code snippet to assign a default value to a given argument.,Ubah suai coretan kod berikut untuk memberikan nilai lalai kepada hujah yang diberikan.,-0.381766140460968
27,Design a decision tree classifer for predicting spam emails.,Reka bentuk klasifikasi pokok keputusan untuk meramalkan e -mel spam.,-0.23276051878929138
28,Generate a Python program which will take as input a string and output the corresponding hexadecimal...,Menjana program python yang akan mengambil sebagai input rentetan dan output perwakilan heksadesimal...,-0.426618367433548
29,Devise an algorithm to solve a given maze,Merangka algoritma untuk menyelesaikan maze yang diberikan,0.4602091610431671
30,Formulate a regular expression to validate a North American phone number.,Merumuskan ungkapan biasa untuk mengesahkan nombor telefon Amerika Utara.,-0.04710984602570534
31,Write a code to generate a dictionary with key-value pairs of Roman numerals and its corresponding v...,Tulis kod untuk menjana kamus dengan pasangan nilai kunci angka Rom dan nilai yang sepadan.,-0.20002886652946472
32,Create a SQL query to aggregate all the prices from a table that contains purchase records.,Buat pertanyaan SQL untuk mengagregatkan semua harga dari jadual yang mengandungi rekod pembelian.,-0.0424240417778492
33,Generate code for a Decision Tree Classifier.,Menjana kod untuk pengelas pokok keputusan.,-0.6418818235397339
34,Compose a code to find all possible combinations of words of string given,Tuliskan kod untuk mencari semua kombinasi kata -kata rentetan yang mungkin diberikan,-0.1837751865386963
35,Generate a random string of length 20 consisting of lowercase letters only.,Menjana rentetan panjang rawak 20 yang terdiri daripada huruf kecil sahaja.,-0.11270496249198914
36,Create a program to decrypt a scrambled message,Buat program untuk menyahsulit mesej bergegas,-0.5066823363304138
37,Write a function to construct a Binary Search Tree from a given array.,Tulis fungsi untuk membina pokok carian binari dari array yang diberikan.,-0.4599247872829437
38,Create a neural network to compute the XOR logic gate,Buat rangkaian saraf untuk mengira pintu logik XOR,-0.414605051279068
39,"Given a string (example input is provided) and a number of characters N, write a function that print...","Memandangkan rentetan (contoh input disediakan) dan beberapa aksara n, tulis fungsi yang mencetak re...",-0.7261599898338318
40,Develop a program to randomly generate three numbers that add up to a given number.,Membangunkan program secara rawak menjana tiga nombor yang menambah sehingga nombor tertentu.,-0.5768895745277405
41,Filter a list of objects by a specific field.,Tapis senarai objek dengan medan tertentu.,-0.18488849699497223
42,Generate code for creating a basic JavaScript timer application. The application should output the a...,Menjana kod untuk membuat aplikasi pemasa JavaScript asas. Permohonan harus mengeluarkan jumlah masa...,-0.524958074092865
43,Devise a Python program to output the multiples of 7 up to a given number.,Merangka program python untuk mengeluarkan gandaan 7 sehingga nombor tertentu.,0.04683776944875717
44,Write a query to find the average cost of items that have been ordered in the last 30 days.,Tulis pertanyaan untuk mencari kos purata item yang telah dipesan dalam 30 hari yang lalu.,0.2829228639602661
45,Modify the given code to use the ternary operator instead of if/else statements.,Ubah suai kod yang diberikan untuk menggunakan pengendali ternary dan bukannya jika/pernyataan lain.,-0.7491584420204163
46,Modify the following function to increase its time complexity,Ubah suai fungsi berikut untuk meningkatkan kerumitan masa,-0.08073131740093231
47,Write a Python script to convert a list of positive integers to a comma-separated string.,Tulis skrip python untuk menukar senarai bilangan bulat positif kepada rentetan yang dipisahkan koma...,0.06269320845603943
48,Write a PHP script to insert a new row into a table given column names and associated values.,Tulis skrip PHP untuk memasukkan baris baru ke dalam jadual yang diberikan nama lajur dan nilai yang...,0.1783927083015442
49,Create a ResNet architecture in Keras which contains at least five layers.,Buat seni bina resnet di keras yang mengandungi sekurang -kurangnya lima lapisan.,-0.30647799372673035
50,"Generate a report listing all the customers in the 'Customer' table and their corresponding
current ...","Menjana laporan yang menyenaraikan semua pelanggan dalam jadual 'pelanggan' dan sepadan mereka
baki ...",-0.43758705258369446
51,Make a text-based adventure game in Python,Buat permainan pengembaraan berasaskan teks di Python,0.4683189392089844
52,Create a database table to store the following data,Buat jadual pangkalan data untuk menyimpan data berikut,0.2523004710674286
53,Generate a function to sum the absolute values of each element in a multidimensional array.,Menjana fungsi untuk merangkumi nilai mutlak setiap elemen dalam pelbagai pelbagai.,-0.7898430228233337
54,Create a SQL query to retrieve all entries from a table that have a certain value in a particular co...,Buat pertanyaan SQL untuk mengambil semua penyertaan dari jadual yang mempunyai nilai tertentu dalam...,-0.6065413355827332
55,Design a function that converts a positive integer to its binary representation,Reka bentuk fungsi yang menukarkan integer positif kepada perwakilan binari,-0.8580639958381653
56,Write an Objective C program for generating random numbers in a given range.,Tulis program objektif C untuk menjana nombor rawak dalam julat tertentu.,-0.4832575023174286
57,Rewrite the following function such that it doesn't modify the list passed,Tulis semula fungsi berikut sehingga tidak mengubah suai senarai yang diluluskan,-0.2611553370952606
58,Construct an SQL statement to count the number of employees in the Employees table?,Membina penyataan SQL untuk mengira bilangan pekerja dalam jadual pekerja?,-0.23330864310264587
59,Create a script which sorts an array of strings using insertion sort.,Buat skrip yang menyusun pelbagai rentetan menggunakan jenis penyisipan.,-0.459465891122818
60,Modify a pre-existing code snippet to add logging feature.,Ubah suai coretan kod yang sedia ada untuk menambah ciri pembalakan.,-0.24251356720924377
61,Write an SQL query to create a table in a given database.,Tulis pertanyaan SQL untuk membuat jadual dalam pangkalan data yang diberikan.,-0.0947006344795227
62,"Generate code to separate a string into words, taking into account punctuation marks.","Menjana kod untuk memisahkan rentetan ke dalam kata -kata, dengan mengambil kira tanda baca.",0.07967022061347961
63,Write an optimized C++ program to search an array of integers,Tulis program C ++ yang dioptimumkan untuk mencari pelbagai bilangan bulat,0.11030140519142151
64,Design a system in Python that encrypts and decrypts text messages using a one-time pad encryption t...,Reka bentuk sistem dalam python yang menyulitkan dan menyahsulit mesej teks menggunakan teknik penyu...,-0.47901651263237
65,Generate a Random Forest classifier in python,Menjana pengelas hutan rawak di python,-0.3477350175380707
66,Create a MySQL query to calculate the average price of a product.,Buat pertanyaan MySQL untuk mengira harga purata produk.,0.20737352967262268
67,Find the maximum length of a continuous increasing subsequence in an array.,Cari panjang maksimum peningkatan seterusnya dalam array.,-0.44759443402290344
68,Create a MySQL query to select the nth oldest record in a table.,Buat pertanyaan MySQL untuk memilih rekod tertua ke dalam jadual.,-0.2859984040260315
69,Describe the purpose of the the following code snippet.,Huraikan tujuan coretan kod berikut.,0.2660423815250397
70,Write a function to convert a roman numeral to an integer value,Tulis fungsi untuk menukar angka Rom ke nilai integer,-0.23681384325027466
71,Write a Python code snippet to generate a random string of 10 characters.,Tulis coretan kod python untuk menghasilkan rentetan rawak 10 aksara.,0.2185850739479065
72,Suggest a method to identify key phrases in a given text,Cadangkan kaedah untuk mengenal pasti frasa utama dalam teks tertentu,0.6184703707695007
73,Develop a machine learning model to predict the future stock prices of a company,Membangunkan model pembelajaran mesin untuk meramalkan harga saham masa depan syarikat,0.5771715044975281
74,Generate a random string containing 8 characters.,Menjana rentetan rawak yang mengandungi 8 aksara.,0.10502003133296967
75,Create an asynchronous function in JavaScript that takes an array of promises and runs them sequenti...,Buat fungsi tak segerak dalam JavaScript yang mengambil pelbagai janji dan menjalankannya secara ber...,-0.33419737219810486
76,Create a pop-up window when a user visits a web page.,Buat tetingkap pop timbul apabila pengguna melawat laman web.,-0.31638333201408386
77,Design a function to retrieve the specifications of a computer processor.,Reka bentuk fungsi untuk mendapatkan spesifikasi pemproses komputer.,-0.036073893308639526
78,Calculate the area of a triangle with base=2 and height=5.,Kirakan kawasan segitiga dengan asas = 2 dan ketinggian = 5.,-0.024200014770030975
79,Create a Rust program that counts the number of occurances of each character in a given string.,Buat program karat yang mengira bilangan kejadian setiap watak dalam rentetan yang diberikan.,-0.6736274361610413
80,Let's write a loop in Python to take the average of two numbers,Mari tulis gelung di Python untuk mengambil purata dua nombor,-0.44426411390304565
81,Generate a SQL statement to find the age of the oldest customer,Menjana pernyataan SQL untuk mencari usia pelanggan tertua,-0.15751591324806213
82,Add exception handling to the following code.,Tambah pengendalian pengecualian ke kod berikut.,-0.3731395900249481
83,Generate a convex hull for a given set of points.,Menjana badan cembung untuk satu set mata yang diberikan.,-0.7668497562408447
84,Convert a given integer number to a binary string.,Tukar nombor integer yang diberikan kepada rentetan binari.,-0.07563480734825134
85,Create an algorithm that sorts an array of musical notes by their frequencies.,Buat algoritma yang menyusun pelbagai nota muzik oleh frekuensi mereka.,-0.09062197804450989
86,Create a recursive function that returns an array of all the factors of a number.,Buat fungsi rekursif yang mengembalikan pelbagai faktor nombor.,-0.40404751896858215
