index,source,translation,score
0,Modify the following code so that the program prints a loop of numbers starting at 6 and ending at 1...,Ubah suai kod berikut supaya program mencetak gelung nombor bermula pada 6 dan berakhir pada 1.,0.1502516120672226
1,Create a React component to display a header at the top of the application,Buat komponen React untuk memaparkan tajuk di bahagian atas aplikasi,0.22724561393260956
2,Generate a JavaScript function to calculate the average of a given array.,Menjana fungsi JavaScript untuk mengira purata array yang diberikan.,-0.0471503920853138
3,Rewrite the following code segment in a more concise way,Tulis semula segmen kod berikut dengan cara yang lebih ringkas,0.633106529712677
4,Write a Python script for testing a sorting algorithm. The script should generate a randomly populat...,Tulis skrip python untuk menguji algoritma penyortiran. Skrip harus menghasilkan pelbagai saiz 20 ya...,-0.15913885831832886
5,Generate a class-based React component that displays its properties in a table.,Menjana komponen reaksi berasaskan kelas yang memaparkan sifatnya dalam jadual.,-0.6093164086341858
6,Construct a SELECT query to extract all the marketing leads from the database.,Bina pertanyaan pilih untuk mengekstrak semua petunjuk pemasaran dari pangkalan data.,-0.5226301550865173
7,Generate a javascript program to find the combination of numbers that sum to a target number,Menjana program JavaScript untuk mencari gabungan nombor yang jumlahnya dengan nombor sasaran,-0.11806069314479828
8,Can you create a program that finds pairs of numbers in a given array whose sum equals to a given ta...,Bolehkah anda membuat program yang menemui pasangan nombor dalam array tertentu yang jumlahnya sama ...,0.14169496297836304
9,Write a JavaScript code that removes duplicates from an array,Tulis kod JavaScript yang menghilangkan pendua dari array,-0.2468356192111969
10,"Given a random integer array, sort it in decreasing order using quick sort.","Memandangkan array integer rawak, susunkannya dalam penurunan urutan dengan cepat.",-0.6062250733375549
11,Generate a random 8-digit alphanumeric string that does not contain any special characters.,Menjana rentetan alfanumerik 8 digit rawak yang tidak mengandungi sebarang aksara khas.,0.2660258710384369
12,Can you implement a function for converting a binary tree to a doubly linked list?,Bolehkah anda melaksanakan fungsi untuk menukar pokok binari ke senarai dikaitkan dua kali?,-0.7338674664497375
13,Implement a JavaScript function which takes a string and capitalizes the first letter,Melaksanakan fungsi JavaScript yang mengambil rentetan dan memanfaatkan huruf pertama,-0.4898166358470917
14,Generate a correct HTML code to make the following link,Menjana kod HTML yang betul untuk membuat pautan berikut,0.20240579545497894
15,Generate a code snippet to calculate the total sum of all even numbers in a list of integers.,Menjana coretan kod untuk mengira jumlah keseluruhan semua nombor dalam senarai bilangan bulat.,-0.007919639348983765
16,"Write SQL query to calculate the average age of people in a table named ""People""","Tulis pertanyaan SQL untuk mengira umur purata orang dalam jadual yang dinamakan ""Orang""",-0.31003111600875854
17,Write a JavaScript program to compute the average of a given array of numbers.,Tulis program JavaScript untuk mengira purata pelbagai nombor yang diberikan.,0.2327825129032135
18,Generate a random unique series of 8 alphanumeric characters.,Menjana siri unik rawak 8 aksara alfanumerik.,-0.03147381171584129
19,Generate an efficient sorting algorithm in C++ to sort a given array of numbers.,Menjana algoritma penyortiran yang cekap dalam C ++ untuk menyusun pelbagai nombor yang diberikan.,0.17498214542865753
20,Create a function to sort a given array of integers using the insertion sort algorithm.,Buat fungsi untuk menyusun pelbagai integer yang diberikan menggunakan algoritma jenis penyisipan.,-0.11246460676193237
21,Design a data structure to store a dictionary with word and its definition as key-value pairs.,Reka bentuk struktur data untuk menyimpan kamus dengan perkataan dan definisi sebagai pasangan nilai...,-0.10520410537719727
22,Design a method to find the object of the smallest weight in an array of objects.,Reka bentuk kaedah untuk mencari objek berat terkecil dalam pelbagai objek.,0.08846844732761383
23,Generate a random sequence of 10 capital letters and display it on the console.,Menjana urutan rawak 10 huruf besar dan memaparkannya pada konsol.,0.2642838656902313
24,Configure a function to return a random number within a certain range with a low memory footprint,Konfigurasikan fungsi untuk mengembalikan nombor rawak dalam julat tertentu dengan jejak memori yang...,-0.2677704095840454
25,Construct a SQL query that retrieves all records from the table “Courses”,"Bina pertanyaan SQL yang mengambil semua rekod dari jadual ""Kursus""",-0.516706645488739
26,Generate a SQL query to find the first 5 records in a table,Menjana pertanyaan SQL untuk mencari 5 rekod pertama dalam jadual,-0.15146592259407043
27,Write a function to sort an array of integers in ascending order.,Tulis fungsi untuk menyusun pelbagai bilangan bulat dalam urutan menaik.,-0.05116681382060051
28,"Given a list of strings, write  a JavaScript code to sort them in alphabetical order.","Memandangkan senarai rentetan, tulis kod JavaScript untuk menyusunnya dalam susunan abjad.",-0.06428888440132141
29,Compose an SQL query to update a table with a given value.,Tuliskan pertanyaan SQL untuk mengemas kini jadual dengan nilai yang diberikan.,-0.17171376943588257
30,Write an RGB to Hexadecimal function in JavaScript.,Tulis RGB ke fungsi heksadesimal dalam JavaScript.,-0.08419233560562134
31,Write a JavaScript code snippet to extract all the words present in a given string and print them in...,Tulis coretan kod JavaScript untuk mengekstrak semua perkataan yang ada dalam rentetan yang diberika...,0.2840665876865387
32,Generate a program to build a molecule from a given string.,Menjana program untuk membina molekul dari rentetan yang diberikan.,0.05943632870912552
33,Create a JavaScript function for generating a random string of 16 Lowercase Alphanumeric characters,Buat fungsi JavaScript untuk menghasilkan rentetan rawak 16 aksara alfanumerik huruf kecil,0.2315838634967804
34,Create a regular expression to validate a strong password.,Buat ungkapan biasa untuk mengesahkan kata laluan yang kuat.,-0.10049834847450256
35,Create an AI to sort a given array of numbers.,Buat AI untuk menyusun pelbagai nombor yang diberikan.,-0.14252755045890808
36,"Given a string, replace all lowercase English alphabets with the next alphabet in its uppercase form...","Memandangkan rentetan, gantikan semua huruf bahasa Inggeris yang lebih kecil dengan abjad seterusnya...",-0.19523176550865173
37,Write a SQL query to top 10 biggest cities by population.,Tulis pertanyaan SQL ke 10 bandar terbesar di atas oleh penduduk.,-0.2444368302822113
38,Implement a sorting algorithm that sorts an array of integers in the least number of comparisons.,Melaksanakan algoritma penyortiran yang menyusun pelbagai bilangan bulat dalam bilangan perbandingan...,-0.1385851800441742
39,Generate a random string of length 10 consisting of lowercase characters.,Menjana rentetan panjang rawak 10 yang terdiri daripada aksara huruf kecil.,-0.10483275353908539
40,Create a Swift program to find the position of a given string in a list of strings.,Buat program SWIFT untuk mencari kedudukan rentetan yang diberikan dalam senarai rentetan.,-0.4320210814476013
41,Write a code to list all the animals in a list,Tulis kod untuk menyenaraikan semua haiwan dalam senarai,0.3015378415584564
42,Can you output a list of all the unique words in a string?,Bolehkah anda mengeluarkan senarai semua perkataan yang unik dalam rentetan?,0.4539039731025696
43,Write an algorithm to classify the sentiment of a movie review.,Tulis algoritma untuk mengklasifikasikan sentimen ulasan filem.,0.3078262507915497
44,What is a JavaScript code snippet that checks a provided string for valid IPV4 address and returns t...,Apakah coretan kod JavaScript yang memeriksa rentetan yang disediakan untuk alamat IPv4 yang sah dan...,-0.47026070952415466
45,Develop a Python function to sum an array of integers,Membangunkan fungsi python untuk menyimpulkan pelbagai bilangan bulat,0.10909391939640045
46,Identify possible vulnerabilities in the following code,Kenal pasti kemungkinan kelemahan dalam kod berikut,0.47534802556037903
47,Generate a function to wrap a string in HTML heading tags.,Menjana fungsi untuk membungkus rentetan dalam tag tajuk HTML.,-0.13547801971435547
48,Generate a random password with at least 8 characters which includes numbers and symbols.,Menjana kata laluan rawak dengan sekurang -kurangnya 8 aksara yang merangkumi nombor dan simbol.,0.5095621347427368
